epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.8265,1.23952,2.59117,1.41495,0.86954,0.09398,0.37979,0.23971,1.0117,2.89249,1.29059,0.000657277,0.000657277,0.000657277
2,18.468,1.1607,1.9275,1.3492,0.62144,0.47887,0.54739,0.42068,1.12733,1.98357,1.47962,0.00128025,0.00128025,0.00128025
3,25.5356,1.21183,1.81922,1.38884,0.47808,0.69667,0.51809,0.34572,1.10376,4.14228,1.39856,0.00185923,0.00185923,0.00185923
4,32.7656,1.12799,1.62376,1.32087,0.47309,0.76508,0.44412,0.29098,1.20387,2.39616,1.45586,0.001802,0.001802,0.001802
5,39.7601,1.17459,1.55861,1.35905,0.83541,0.67916,0.73333,0.57845,1.02286,1.46139,1.351,0.001736,0.001736,0.001736
6,46.9554,1.06472,1.38188,1.31445,0.83194,0.66237,0.75576,0.59828,0.9598,1.20524,1.27018,0.00167,0.00167,0.00167
7,54.0135,1.0478,1.29941,1.2882,0.85996,0.73239,0.76894,0.60505,0.98604,1.17742,1.2791,0.001604,0.001604,0.001604
8,61.0217,0.98981,1.18039,1.25171,0.88323,0.8169,0.81084,0.65083,0.89765,1.0989,1.22193,0.001538,0.001538,0.001538
9,68.2567,0.9564,1.11378,1.23487,0.86192,0.77465,0.80477,0.62777,0.90507,0.95275,1.26185,0.001472,0.001472,0.001472
10,75.1564,0.96434,1.04735,1.24902,0.80603,0.73161,0.81424,0.64133,0.88591,0.9869,1.20586,0.001406,0.001406,0.001406
11,82.3309,0.93717,1.04997,1.23814,0.81207,0.82394,0.83917,0.65956,0.89324,1.06399,1.20427,0.00134,0.00134,0.00134
12,89.4836,0.88383,0.97856,1.17523,0.88516,0.8169,0.8626,0.67343,0.83125,0.85043,1.1536,0.001274,0.001274,0.001274
13,96.4554,0.83991,0.91853,1.16144,0.87415,0.78264,0.84831,0.66329,0.82384,0.84438,1.15962,0.001208,0.001208,0.001208
14,103.624,0.8608,0.94766,1.16659,0.90683,0.82257,0.84179,0.68821,0.82691,0.75998,1.21228,0.001142,0.001142,0.001142
15,110.973,0.86253,0.94788,1.19868,0.92836,0.82138,0.89924,0.75273,0.71623,0.69234,1.10503,0.001076,0.001076,0.001076
16,118.269,0.77975,0.81776,1.13429,0.89746,0.86296,0.88119,0.72795,0.76668,0.71679,1.12615,0.00101,0.00101,0.00101
17,125.708,0.82221,0.83241,1.16922,0.89826,0.80986,0.88455,0.68207,0.74888,0.7434,1.14059,0.000944,0.000944,0.000944
18,132.839,0.79177,0.7954,1.14085,0.84232,0.86527,0.89347,0.7456,0.69667,0.65461,1.08764,0.000878,0.000878,0.000878
19,139.74,0.78965,0.7855,1.11569,0.91002,0.83803,0.91148,0.74479,0.74498,0.64621,1.09896,0.000812,0.000812,0.000812
20,146.896,0.76222,0.74397,1.12093,0.90965,0.85915,0.90211,0.74143,0.75033,0.66573,1.13871,0.000746,0.000746,0.000746
21,186.972,0.71471,0.67598,1.09271,0.92321,0.85211,0.9027,0.74059,0.72471,0.69626,1.08569,0.00068,0.00068,0.00068
22,194.075,0.67682,0.63386,1.06886,0.92656,0.88844,0.94279,0.74781,0.70934,0.56319,1.0878,0.000614,0.000614,0.000614
23,201.051,0.66949,0.60293,1.06687,0.90215,0.84407,0.90722,0.75554,0.70363,0.65654,1.11343,0.000548,0.000548,0.000548
24,207.976,0.65931,0.59404,1.05882,0.89166,0.90845,0.9354,0.78715,0.67572,0.54201,1.03438,0.000482,0.000482,0.000482
25,214.808,0.61008,0.55583,1.02767,0.9356,0.90141,0.90175,0.77725,0.61639,0.53004,1.0134,0.000416,0.000416,0.000416
26,221.66,0.60085,0.53496,1.02364,0.93971,0.87816,0.92445,0.79314,0.64915,0.52939,1.04845,0.00035,0.00035,0.00035
27,228.918,0.60589,0.50403,1.02962,0.94429,0.90141,0.94842,0.80893,0.61988,0.49058,1.02223,0.000284,0.000284,0.000284
28,235.745,0.58157,0.49621,1.01188,0.93518,0.91447,0.96416,0.82019,0.62275,0.46237,1.02299,0.000218,0.000218,0.000218
29,242.663,0.55443,0.48959,1.00292,0.91681,0.93662,0.9636,0.82344,0.57487,0.44993,0.99144,0.000152,0.000152,0.000152
30,249.635,0.53361,0.45399,0.97264,0.94789,0.90141,0.95473,0.8268,0.56685,0.4579,0.99475,8.6e-05,8.6e-05,8.6e-05
