epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.57976,1.46272,3.6071,1.47988,0.00244,0.73333,0.01555,0.00584,1.01349,4.03244,1.47948,0.00012,0.00012,0.00012
2,10.8285,1.43596,3.60229,1.64675,0.00267,0.8,0.01868,0.00816,0.97318,3.82077,1.38786,0.000254852,0.000254852,0.000254852
3,11.8046,1.28079,3.16331,1.34207,0.00267,0.8,0.12089,0.10144,0.98452,3.65068,1.26577,0.00038416,0.00038416,0.00038416
4,12.7698,1.17284,2.64574,1.41369,0.00311,0.93333,0.3032,0.17196,0.85458,3.50088,1.2094,0.000507924,0.000507924,0.000507924
5,13.675,1.20871,2.41087,1.43948,0.00333,1,0.21583,0.15312,0.88824,3.55662,1.23583,0.000626144,0.000626144,0.000626144
6,14.5109,1.05074,2.36647,1.29732,0.00333,1,0.1437,0.11706,0.86385,3.40171,1.21461,0.00073882,0.00073882,0.00073882
7,15.4036,1.27069,2.32554,1.49652,0.00333,1,0.1192,0.07579,0.82701,3.41257,1.29693,0.000845952,0.000845952,0.000845952
8,16.2598,1.13768,2.419,1.3668,0.63619,0.06667,0.14562,0.08057,0.83056,3.45538,1.22936,0.00094754,0.00094754,0.00094754
9,17.0371,1.16071,2.20206,1.38926,0.31274,0.06667,0.16711,0.11793,0.92901,3.37717,1.25738,0.00104358,0.00104358,0.00104358
10,17.8475,1.01785,1.96789,1.26815,0.36008,0.06667,0.1513,0.09881,1.00537,3.29279,1.17821,0.00113408,0.00113408,0.00113408
11,18.7116,1.07895,2.03464,1.32787,0.01518,0.13333,0.01274,0.00696,0.9616,3.63751,1.41072,0.00121904,0.00121904,0.00121904
12,19.5039,1.08648,2.02254,1.3805,0.06259,0.4,0.04743,0.02389,1.10919,3.8039,1.54036,0.00129845,0.00129845,0.00129845
