epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.0187,1.23404,2.58077,1.37322,0.56882,0.37694,0.46194,0.28418,1.14296,2.75239,1.54601,0.000657143,0.000657143,0.000657143
2,25.1073,1.16873,2.00452,1.37717,0.33458,0.6,0.32102,0.1979,1.2397,3.47279,1.5987,0.00128012,0.00128012,0.00128012
3,32.4925,1.15391,1.77006,1.33133,0.37968,0.67143,0.3791,0.23501,1.18211,3.36214,1.5292,0.0018591,0.0018591,0.0018591
4,39.7753,1.15165,1.64943,1.36217,0.83675,0.57857,0.58243,0.43346,1.2846,1.71929,1.71016,0.001802,0.001802,0.001802
5,47.0159,1.09138,1.45268,1.28302,0.91029,0.6,0.6861,0.492,1.17749,1.55307,1.43288,0.001736,0.001736,0.001736
6,54.2565,1.05459,1.38698,1.27986,0.88969,0.69134,0.75917,0.55608,1.06694,1.1634,1.34134,0.00167,0.00167,0.00167
7,61.419,1.00711,1.27432,1.27331,0.85371,0.75714,0.80349,0.60748,0.997,1.24823,1.31429,0.001604,0.001604,0.001604
8,68.5697,0.96568,1.20425,1.21297,0.91876,0.78571,0.88832,0.64214,0.95931,1.06727,1.29647,0.001538,0.001538,0.001538
9,75.8129,0.94412,1.06615,1.22842,0.88945,0.80461,0.84534,0.64063,0.91676,0.947,1.25689,0.001472,0.001472,0.001472
10,82.8987,0.97536,1.10539,1.24496,0.92005,0.79286,0.8914,0.66954,0.88456,0.95572,1.21673,0.001406,0.001406,0.001406
11,90.1083,0.92447,1.01392,1.20195,0.92991,0.85286,0.89819,0.68867,0.88641,0.78494,1.22875,0.00134,0.00134,0.00134
12,97.7389,0.85007,0.93725,1.15388,0.91091,0.83571,0.89985,0.70049,0.84918,0.71672,1.23501,0.001274,0.001274,0.001274
13,104.964,0.89596,0.9581,1.19474,0.88235,0.8,0.87457,0.6582,0.87728,0.95804,1.20312,0.001208,0.001208,0.001208
14,112.113,0.87858,0.90399,1.15811,0.89728,0.85,0.90191,0.67511,0.83257,0.77742,1.239,0.001142,0.001142,0.001142
15,119.418,0.85599,0.8827,1.15023,0.90971,0.86358,0.92278,0.71533,0.81078,0.67743,1.19898,0.001076,0.001076,0.001076
16,126.647,0.79044,0.84273,1.11645,0.91357,0.84286,0.89786,0.69841,0.82355,0.74333,1.20746,0.00101,0.00101,0.00101
17,133.889,0.822,0.84269,1.13905,0.93602,0.85714,0.93506,0.71818,0.80825,0.67212,1.19663,0.000944,0.000944,0.000944
18,141.493,0.77596,0.77573,1.11671,0.9384,0.87046,0.93936,0.74257,0.75481,0.64636,1.13719,0.000878,0.000878,0.000878
19,148.708,0.75892,0.74354,1.10957,0.94771,0.90623,0.9395,0.75261,0.75294,0.58457,1.16805,0.000812,0.000812,0.000812
20,155.991,0.75067,0.73824,1.09497,0.93957,0.90714,0.94432,0.75772,0.72495,0.60055,1.10333,0.000746,0.000746,0.000746
