epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
36,282.569,0.61013,0.54914,1.03238,0.93122,0.85212,0.93306,0.77295,0.68009,0.52558,1.07445,0.000614,0.000614,0.000614
37,289.623,0.62464,0.57018,1.04053,0.93345,0.84615,0.92406,0.77701,0.73195,0.54314,1.10446,0.0005744,0.0005744,0.0005744
38,296.771,0.62902,0.55942,1.04202,0.9219,0.90796,0.93703,0.78747,0.68029,0.50071,1.08387,0.0005348,0.0005348,0.0005348
39,303.755,0.63606,0.54723,1.05483,0.91017,0.92111,0.93871,0.79375,0.66691,0.50227,1.06034,0.0004952,0.0004952,0.0004952
40,310.936,0.61772,0.54331,1.04294,0.94419,0.82517,0.92228,0.78314,0.69872,0.52323,1.12047,0.0004556,0.0004556,0.0004556
41,350.411,0.57227,0.50671,1.02702,0.97126,0.83217,0.94292,0.78768,0.67421,0.52198,1.05863,0.000416,0.000416,0.000416
42,357.621,0.57888,0.48031,1.03454,0.92197,0.9021,0.95923,0.80469,0.65104,0.48101,1.03946,0.0003764,0.0003764,0.0003764
43,365.531,0.57018,0.46321,1.02282,0.88276,0.86713,0.91752,0.76538,0.71917,0.55346,1.09678,0.0003368,0.0003368,0.0003368
44,373.322,0.54151,0.43398,0.99276,0.92209,0.91046,0.95946,0.8234,0.61909,0.45506,1.02076,0.0002972,0.0002972,0.0002972
45,380.724,0.53822,0.41558,0.99586,0.94947,0.9021,0.96699,0.81544,0.61902,0.43924,1.01571,0.0002576,0.0002576,0.0002576
46,387.838,0.54588,0.41619,1.01051,0.9377,0.93007,0.95969,0.81743,0.60961,0.45646,1.0123,0.000218,0.000218,0.000218
47,394.871,0.51668,0.41163,0.99603,0.96862,0.92308,0.96407,0.82996,0.59295,0.41888,1.00527,0.0001784,0.0001784,0.0001784
48,401.848,0.50513,0.39409,0.97476,0.9598,0.91608,0.95838,0.82533,0.60195,0.42621,1.01142,0.0001388,0.0001388,0.0001388
49,408.767,0.48221,0.37429,0.95279,0.95615,0.915,0.95787,0.83567,0.58192,0.40939,1.00001,9.92e-05,9.92e-05,9.92e-05
50,415.849,0.48483,0.36538,0.95858,0.96225,0.92308,0.95901,0.83509,0.57209,0.40751,0.99604,5.96e-05,5.96e-05,5.96e-05
