epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.0547,1.11316,2.47891,1.32548,0.55483,0.38462,0.42709,0.29107,1.11128,2.92792,1.3956,0.000657277,0.000657277,0.000657277
2,22.2521,1.13106,1.98409,1.35884,0.55546,0.53846,0.37978,0.27336,1.88987,2.20044,1.83827,0.00129773,0.00129773,0.00129773
3,31.4663,1.21141,1.76855,1.40804,0.67123,0.55245,0.49246,0.35944,1.35706,2.06424,1.54514,0.00191178,0.00191178,0.00191178
4,40.0947,1.14728,1.58548,1.34177,0.46742,0.51748,0.38645,0.26238,1.29574,2.90498,1.60562,0.0018812,0.0018812,0.0018812
5,48.8813,1.08803,1.48154,1.33308,0.44952,0.61538,0.47317,0.34042,1.10645,3.45892,1.47752,0.0018416,0.0018416,0.0018416
6,57.7125,1.03155,1.30995,1.30724,0.81519,0.64778,0.6928,0.49486,1.16698,1.24614,1.39565,0.001802,0.001802,0.001802
7,66.5248,1.0707,1.29681,1.34226,0.73059,0.7972,0.77188,0.57475,1.02628,1.10317,1.33758,0.0017624,0.0017624,0.0017624
8,75.2596,0.98547,1.20124,1.26926,0.69715,0.70831,0.74989,0.53978,1.08762,1.31578,1.38428,0.0017228,0.0017228,0.0017228
9,83.9644,0.99203,1.17325,1.26711,0.75023,0.71329,0.74443,0.58431,1.00299,1.14246,1.33184,0.0016832,0.0016832,0.0016832
10,92.4472,0.9552,1.06902,1.25889,0.8493,0.7882,0.80752,0.60818,1.02724,1.04372,1.34026,0.0016436,0.0016436,0.0016436
11,100.945,0.939,1.01953,1.24246,0.89722,0.76224,0.81366,0.62537,0.95198,0.98093,1.2811,0.001604,0.001604,0.001604
12,109.767,0.93123,1.06066,1.23053,0.79063,0.81861,0.82497,0.62391,0.93673,0.94616,1.25284,0.0015644,0.0015644,0.0015644
13,117.103,0.9178,0.98525,1.20955,0.87764,0.76923,0.80747,0.64402,0.96295,0.99264,1.29736,0.0015248,0.0015248,0.0015248
14,124.218,0.92413,0.96297,1.21273,0.78927,0.81119,0.82538,0.66282,0.88829,0.98684,1.30275,0.0014852,0.0014852,0.0014852
15,131.336,0.89499,0.94122,1.21715,0.86449,0.78322,0.8218,0.64489,0.91212,0.88507,1.27945,0.0014456,0.0014456,0.0014456
16,138.217,0.87076,0.89895,1.21117,0.86509,0.80714,0.86059,0.67358,0.88241,0.84721,1.22763,0.001406,0.001406,0.001406
17,145.396,0.84587,0.8721,1.18044,0.85817,0.83217,0.87803,0.69852,0.80597,0.7826,1.17804,0.0013664,0.0013664,0.0013664
18,152.344,0.82313,0.81622,1.17855,0.84948,0.78322,0.79961,0.65121,0.89233,0.91745,1.2335,0.0013268,0.0013268,0.0013268
19,159.415,0.79249,0.81924,1.14528,0.88649,0.8042,0.86339,0.69372,0.82996,0.84007,1.22456,0.0012872,0.0012872,0.0012872
20,166.386,0.77972,0.80779,1.13736,0.83936,0.79021,0.8638,0.68236,0.87378,0.77337,1.26961,0.0012476,0.0012476,0.0012476
21,173.39,0.75933,0.79075,1.12483,0.89029,0.77622,0.83215,0.68227,0.75663,0.84091,1.14613,0.001208,0.001208,0.001208
22,180.512,0.77856,0.8138,1.14564,0.91702,0.85015,0.89608,0.73811,0.76508,0.69544,1.13012,0.0011684,0.0011684,0.0011684
23,187.606,0.73661,0.74876,1.09474,0.90875,0.83569,0.88747,0.71762,0.77666,0.69423,1.14447,0.0011288,0.0011288,0.0011288
24,194.927,0.75231,0.75342,1.11005,0.87601,0.81818,0.85431,0.7021,0.78694,0.73626,1.13995,0.0010892,0.0010892,0.0010892
25,203.71,0.72539,0.71705,1.08631,0.91809,0.83916,0.86352,0.6901,0.80445,0.74508,1.21629,0.0010496,0.0010496,0.0010496
26,211.442,0.73698,0.71999,1.11088,0.9231,0.82517,0.89616,0.73064,0.76307,0.66877,1.14162,0.00101,0.00101,0.00101
27,218.56,0.77389,0.70703,1.12487,0.92536,0.78026,0.89926,0.73439,0.75475,0.64396,1.1234,0.0009704,0.0009704,0.0009704
28,225.581,0.69797,0.6572,1.09259,0.91355,0.88681,0.91223,0.75136,0.77806,0.57963,1.17237,0.0009308,0.0009308,0.0009308
29,232.794,0.67631,0.62012,1.04604,0.92163,0.84615,0.92048,0.73395,0.75524,0.59051,1.15173,0.0008912,0.0008912,0.0008912
30,239.864,0.6883,0.64303,1.06668,0.92177,0.83916,0.89357,0.72711,0.72249,0.62973,1.11864,0.0008516,0.0008516,0.0008516
31,246.788,0.72987,0.68812,1.1185,0.93864,0.82517,0.91445,0.74815,0.74235,0.64238,1.15868,0.000812,0.000812,0.000812
32,253.869,0.69467,0.62559,1.0832,0.87778,0.85377,0.89779,0.72343,0.76754,0.67674,1.16618,0.0007724,0.0007724,0.0007724
33,260.91,0.65842,0.59833,1.06454,0.91906,0.87347,0.92762,0.75378,0.74734,0.56397,1.13601,0.0007328,0.0007328,0.0007328
34,268.47,0.70114,0.62573,1.09453,0.95908,0.81961,0.92297,0.75612,0.75496,0.5519,1.13751,0.0006932,0.0006932,0.0006932
35,275.502,0.63893,0.58769,1.04555,0.89573,0.9011,0.92378,0.77618,0.70951,0.55077,1.10932,0.0006536,0.0006536,0.0006536
